Location,Date,Source
KOTA JAKARTA BARAT,2013-01-16,BNPB
KOTA JAKARTA TIMUR,2013-01-16,BNPB
KOTA JAKARTA PUSAT,2013-01-16,BNPB
KOTA JAKARTA SELATAN,2013-01-16,BNPB
KOTA JAKARTA UTARA,2013-01-16,BNPB
KOTA JAKARTA BARAT,2013-01-13,BNPB
KOTA JAKARTA TIMUR,2012-12-24,BNPB
KOTA JAKARTA TIMUR,2012-12-21,BNPB
KOTA JAKARTA SELATAN,2012-12-21,BNPB
KOTA JAKARTA TIMUR,2012-11-22,BNPB
KOTA JAKARTA SELATAN,2012-11-22,BNPB
KOTA JAKARTA TIMUR,2012-04-02,BNPB
KOTA JAKARTA SELATAN,2012-04-02,BNPB
KOTA JAKARTA BARAT,2012-04-02,BNPB
KOTA JAKARTA SELATAN,2011-12-13,BNPB
KOTA JAKARTA TIMUR,2011-12-01,BNPB
KOTA JAKARTA UTARA,2011-11-28,BNPB
KOTA JAKARTA UTARA,2011-11-24,BNPB
KOTA JAKARTA SELATAN,2011-11-15,BNPB
KOTA JAKARTA TIMUR,2011-11-01,BNPB
KOTA JAKARTA SELATAN,2011-10-30,BNPB
KOTA JAKARTA SELATAN,2011-05-20,BNPB
KOTA JAKARTA SELATAN,2010-10-25,BNPB
KOTA JAKARTA UTARA,2010-10-04,BNPB
KOTA JAKARTA TIMUR,2010-10-04,BNPB
KOTA JAKARTA SELATAN,2010-09-26,BNPB
KOTA JAKARTA SELATAN,2010-09-14,BNPB
KOTA JAKARTA TIMUR,2010-08-25,BNPB
KOTA JAKARTA SELATAN,2010-08-17,BNPB
KOTA JAKARTA TIMUR,2010-06-30,BNPB
KOTA JAKARTA SELATAN,2010-03-05,BNPB
KOTA JAKARTA TIMUR,2010-02-18,BNPB
KOTA JAKARTA SELATAN,2010-02-18,BNPB
KOTA JAKARTA TIMUR,2010-02-13,BNPB
KOTA JAKARTA BARAT,2010-02-13,BNPB
KOTA JAKARTA UTARA,2010-01-18,BNPB
KOTA JAKARTA UTARA,2009-12-01,BNPB
KOTA JAKARTA TIMUR,2009-02-07,BNPB
KOTA JAKARTA BARAT,2009-01-15,BNPB
KOTA JAKARTA BARAT,2009-01-13,BNPB
KOTA JAKARTA PUSAT,2009-01-13,BNPB
KOTA JAKARTA UTARA,2009-01-13,BNPB
KOTA JAKARTA SELATAN,2009-01-13,BNPB
KOTA JAKARTA TIMUR,2009-01-13,BNPB
KOTA JAKARTA SELATAN,2008-09-08,BNPB
KOTA JAKARTA TIMUR,2008-03-15,BNPB
KOTA JAKARTA SELATAN,2008-03-15,BNPB
KOTA JAKARTA TIMUR,2008-03-14,BNPB
KOTA JAKARTA SELATAN,2008-03-14,BNPB
KOTA JAKARTA UTARA,2008-03-12,BNPB
KOTA JAKARTA TIMUR,2008-03-12,BNPB
KOTA JAKARTA SELATAN,2008-03-12,BNPB
KOTA JAKARTA BARAT,2008-03-12,BNPB
KOTA JAKARTA TIMUR,2008-02-27,BNPB
KOTA JAKARTA UTARA,2008-02-01,BNPB
KOTA JAKARTA TIMUR,2008-02-01,BNPB
KOTA JAKARTA SELATAN,2008-02-01,BNPB
KOTA JAKARTA PUSAT,2008-02-01,BNPB
KOTA JAKARTA BARAT,2008-02-01,BNPB
KOTA JAKARTA TIMUR,2008-01-02,BNPB
KOTA JAKARTA UTARA,2008-01-01,BNPB
KOTA JAKARTA SELATAN,2008-01-01,BNPB
KOTA JAKARTA PUSAT,2008-01-01,BNPB
KOTA JAKARTA BARAT,2008-01-01,BNPB
KOTA JAKARTA TIMUR,2007-11-11,BNPB
KOTA JAKARTA UTARA,2007-06-13,BNPB
KOTA JAKARTA TIMUR,2007-02-01,BNPB
KOTA JAKARTA SELATAN,2007-02-01,BNPB
KOTA JAKARTA BARAT,2007-02-01,BNPB
KOTA JAKARTA UTARA,2007-02-01,BNPB
KOTA JAKARTA PUSAT,2007-02-01,BNPB
KOTA JAKARTA TIMUR,2006-02-26,BNPB
KOTA JAKARTA TIMUR,2006-02-09,BNPB
KOTA JAKARTA TIMUR,2006-01-23,BNPB
KOTA JAKARTA SELATAN,2005-12-11,BNPB
KOTA JAKARTA TIMUR,2005-03-06,BNPB
KOTA JAKARTA TIMUR,2005-02-23,BNPB
KOTA JAKARTA PUSAT,2005-01-19,BNPB
KOTA JAKARTA TIMUR,2004-04-24,BNPB
KOTA JAKARTA UTARA,2004-02-20,BNPB
KOTA JAKARTA TIMUR,2004-02-20,BNPB
KOTA JAKARTA SELATAN,2004-02-20,BNPB
KOTA JAKARTA BARAT,2004-02-20,BNPB
KOTA JAKARTA TIMUR,2004-02-19,BNPB
KOTA JAKARTA TIMUR,2004-01-19,BNPB
KOTA JAKARTA SELATAN,2004-01-19,BNPB
KOTA JAKARTA SELATAN,2004-01-12,BNPB
KOTA JAKARTA SELATAN,2004-01-11,BNPB
KOTA JAKARTA UTARA,2003-12-29,BNPB
KOTA JAKARTA PUSAT,2003-12-29,BNPB
KOTA JAKARTA BARAT,2003-05-18,BNPB
KOTA JAKARTA TIMUR,2003-05-02,BNPB
KOTA JAKARTA SELATAN,2003-04-30,BNPB
KOTA JAKARTA TIMUR,2003-02-13,BNPB
KOTA JAKARTA SELATAN,2003-02-13,BNPB
KOTA JAKARTA BARAT,2003-02-13,BNPB
KOTA JAKARTA UTARA,2003-02-13,BNPB
KOTA JAKARTA PUSAT,2003-02-13,BNPB
KOTA JAKARTA SELATAN,2002-02-16,BNPB
KOTA JAKARTA SELATAN,1996-02-09,BNPB
KOTA JAKARTA UTARA,1994-06-13,BNPB
