,Location,Date,Source
152,KOTA JAKARTA SELATAN,2011-10-30,BNPB
153,KOTA JAKARTA SELATAN,2011-05-20,BNPB
154,KOTA JAKARTA SELATAN,2010-10-25,BNPB
155,KOTA JAKARTA UTARA,2010-10-04,BNPB
156,KOTA JAKARTA TIMUR,2010-10-04,BNPB
157,KOTA JAKARTA SELATAN,2010-09-26,BNPB
158,KOTA JAKARTA SELATAN,2010-09-14,BNPB
159,KOTA JAKARTA TIMUR,2010-08-25,BNPB
160,KOTA JAKARTA SELATAN,2010-08-17,BNPB
161,KOTA JAKARTA TIMUR,2010-06-30,BNPB
162,KOTA JAKARTA SELATAN,2010-03-05,BNPB
163,KOTA JAKARTA TIMUR,2010-02-18,BNPB
164,KOTA JAKARTA SELATAN,2010-02-18,BNPB
165,KOTA JAKARTA TIMUR,2010-02-13,BNPB
166,KOTA JAKARTA BARAT,2010-02-13,BNPB
167,KOTA JAKARTA UTARA,2010-01-18,BNPB
168,KOTA JAKARTA UTARA,2009-12-01,BNPB
169,KOTA JAKARTA TIMUR,2009-02-07,BNPB
170,KOTA JAKARTA BARAT,2009-01-15,BNPB
171,KOTA JAKARTA BARAT,2009-01-13,BNPB
172,KOTA JAKARTA PUSAT,2009-01-13,BNPB
173,KOTA JAKARTA UTARA,2009-01-13,BNPB
174,KOTA JAKARTA SELATAN,2009-01-13,BNPB
175,KOTA JAKARTA TIMUR,2009-01-13,BNPB
176,KOTA JAKARTA SELATAN,2008-09-08,BNPB
177,KOTA JAKARTA TIMUR,2008-03-15,BNPB
178,KOTA JAKARTA SELATAN,2008-03-15,BNPB
179,KOTA JAKARTA TIMUR,2008-03-14,BNPB
180,KOTA JAKARTA SELATAN,2008-03-14,BNPB
181,KOTA JAKARTA UTARA,2008-03-12,BNPB
182,KOTA JAKARTA TIMUR,2008-03-12,BNPB
183,KOTA JAKARTA SELATAN,2008-03-12,BNPB
184,KOTA JAKARTA BARAT,2008-03-12,BNPB
185,KOTA JAKARTA TIMUR,2008-02-27,BNPB
186,KOTA JAKARTA UTARA,2008-02-01,BNPB
187,KOTA JAKARTA TIMUR,2008-02-01,BNPB
188,KOTA JAKARTA SELATAN,2008-02-01,BNPB
189,KOTA JAKARTA PUSAT,2008-02-01,BNPB
190,KOTA JAKARTA BARAT,2008-02-01,BNPB
191,KOTA JAKARTA TIMUR,2008-01-02,BNPB
192,KOTA JAKARTA UTARA,2008-01-01,BNPB
193,KOTA JAKARTA SELATAN,2008-01-01,BNPB
194,KOTA JAKARTA PUSAT,2008-01-01,BNPB
195,KOTA JAKARTA BARAT,2008-01-01,BNPB
196,KOTA JAKARTA TIMUR,2007-11-11,BNPB
197,KOTA JAKARTA UTARA,2007-06-13,BNPB
198,KOTA JAKARTA TIMUR,2007-02-01,BNPB
199,KOTA JAKARTA SELATAN,2007-02-01,BNPB
200,KOTA JAKARTA BARAT,2007-02-01,BNPB
201,KOTA JAKARTA UTARA,2007-02-01,BNPB
202,KOTA JAKARTA PUSAT,2007-02-01,BNPB
203,KOTA JAKARTA TIMUR,2006-02-26,BNPB
204,KOTA JAKARTA TIMUR,2006-02-09,BNPB
205,KOTA JAKARTA TIMUR,2006-01-23,BNPB
206,KOTA JAKARTA SELATAN,2005-12-11,BNPB
207,KOTA JAKARTA TIMUR,2005-03-06,BNPB
208,KOTA JAKARTA TIMUR,2005-02-23,BNPB
209,KOTA JAKARTA PUSAT,2005-01-19,BNPB
210,KOTA JAKARTA TIMUR,2004-04-24,BNPB
211,KOTA JAKARTA UTARA,2004-02-20,BNPB
212,KOTA JAKARTA TIMUR,2004-02-20,BNPB
213,KOTA JAKARTA SELATAN,2004-02-20,BNPB
214,KOTA JAKARTA BARAT,2004-02-20,BNPB
215,KOTA JAKARTA TIMUR,2004-02-19,BNPB
216,KOTA JAKARTA TIMUR,2004-01-19,BNPB
217,KOTA JAKARTA SELATAN,2004-01-19,BNPB
218,KOTA JAKARTA SELATAN,2004-01-12,BNPB
219,KOTA JAKARTA SELATAN,2004-01-11,BNPB
220,KOTA JAKARTA UTARA,2003-12-29,BNPB
221,KOTA JAKARTA PUSAT,2003-12-29,BNPB
222,KOTA JAKARTA BARAT,2003-05-18,BNPB
223,KOTA JAKARTA TIMUR,2003-05-02,BNPB
224,KOTA JAKARTA SELATAN,2003-04-30,BNPB
225,KOTA JAKARTA TIMUR,2003-02-13,BNPB
226,KOTA JAKARTA SELATAN,2003-02-13,BNPB
227,KOTA JAKARTA BARAT,2003-02-13,BNPB
228,KOTA JAKARTA UTARA,2003-02-13,BNPB
229,KOTA JAKARTA PUSAT,2003-02-13,BNPB
230,KOTA JAKARTA SELATAN,2002-02-16,BNPB
231,KOTA JAKARTA SELATAN,1996-02-09,BNPB
232,KOTA JAKARTA UTARA,1994-06-13,BNPB
